text,source_dataset,source_subdomain,original_label,stratum,data_id
"Я стала вновь жить, радоваться, с великолепным аттестатом окончила школу, поступила туда, куда хотела, ходила в церковь.",presuicidal,,"защитные факторы/выражение счастья, радости, удовлетворенности;защитные факторы/наличие целей, планов на будущее, любимого дела;защитные факторы/позитивные установки",presuicidal_multilabel_conj,0f6cee8a71ef43f687036ee2d9205015-12
появляются мысли о суициде или желание чтобы меня просто изолировали в каком нибудь лечебном заведении потому что мне больно что я такая несообразительная и на меня все чуть ли не как на дурочку смотрят.,presuicidal,,"смерть/мысли о смерти;чувства/негативное самоощущение, вина, стыд, никчемность, самобичевание",presuicidal_multilabel_conj,f2d81084d2f146ba9e93602695d991b7-4
"А ещё он пьет, это началось давно и продолжается до сих пор, пьет довольно часто и много, ночью заваливается домой, пока мы спим, из-за этого мы не высыпаемся и утром идем в таком состоянии на работу.",presuicidal,,деструктивное поведение/алкоголь и наркотики;проблемы в семье/сложные отношения с родственниками,presuicidal_multilabel_conj,d647516914c4436ba73f22b50735e0ee-21
"и мне кажется теперь, что яникогда не поправлюсь.",presuicidal,,"клинические проявления/тревожность, страх, фобии;клинические проявления/физические заболевания, инвалидность",presuicidal_multilabel_conj,ecd955aab51f4e4098f317c5eedad4e5-33
"около недели назад моя биологическая мать с опекой через суд забрали моего старшего сына, ещё у меня дочка и сын.",presuicidal,,"деструктивное поведение/проблемы с законом, дисциплиной;проблемы в семье/сложные отношения с родственниками",presuicidal_multilabel_conj,f289deaf25f04b92b0e62ac84f776f65-1
мне ужасно обидно и плохо прям хочется заплакать и очень громко.,presuicidal,,"клинические проявления/плач, истерики;чувства/агрессия, гнев, обида, злость, раздражительность, ревность, несправедливость",presuicidal_multilabel_conj,ef1dd2eae08447c5a3d0fad077aff09a-3
Я схожу с ума и это тоже заставляет меня сильно грустить,presuicidal,,"клинические проявления/другие психические расстройства;чувства/душевное опустошение, подавленность, тоска, грусть",presuicidal_multilabel_conj,2420d39c147e44aaac90d5c06c733d91-0
"В общем с опустошением пройдя все семейные войны я вышел на путь взрослой жизни практически без сил, в армию не пошёл, получил группу инвалидности по психике, и торчал в депрессии лет до 26, пока не встретился с одной девушкой.",presuicidal,,"клинические проявления/депрессия;клинические проявления/усталость, стресс, истощение ресурсов;клинические проявления/другие психические расстройства",presuicidal_multilabel_conj,c91952683726464c9cee92a3588c7435-10
"я без него не знаю как дышать, у меня мысли суицидные каждую секунду, я звоню ему он меня везде заблокировал просто все ходы связи перекрыл, мы расставались раньше на один месяц но тогда я чувствовала себя уверенно, а сейчас нет я не могу у меня истерика, я не могу существовать без него мы буквально вчера с ним смеялись нам было хорошо, а сейчас он не хочет меня слышать знать, а тут ещё эта учеба, не хочу без него жить хочу покончить с собой может тогда он поймёт как я его люблю.",presuicidal,,"проблемы во внешнем мире/несчастная любовь, проблемы с друзьями, сложности построения отношений;смерть/мысли о смерти",presuicidal_multilabel_conj,08802f83d5ea4ec9bdf9d5a312fa976e-3
"Наконец-то я была счастлива, что обрела человека, который меня понимает.",presuicidal,,"защитные факторы/выражение счастья, радости, удовлетворенности;защитные факторы/наличие позитивных социальных связей",presuicidal_multilabel_conj,e3a71dd302fb455e8d03d117d88fa7f2-15
Которого люблю но он меня не понимает не хочет слушать что у меня на душе.,presuicidal,,"защитные факторы/выражение любви;проблемы во внешнем мире/несчастная любовь, проблемы с друзьями, сложности построения отношений",presuicidal_multilabel_conj,e0f46f4ec9a643e290450e00caac5025-8
"Мы видимся с ним, он со своей новой семьей живет в доме напротив, я очень люблю его, ну не в этом суть.",presuicidal,,"защитные факторы/выражение любви;проблемы во внешнем мире/несчастная любовь, проблемы с друзьями, сложности построения отношений",presuicidal_multilabel_conj,bfd83cef7e614f968d2b69aec4216e74-5
но в итоге на 14 февроля он меня очень сильно оскорбил и я снова порезала руку.,presuicidal,,"деструктивное поведение/самоповреждение;проблемы во внешнем мире/несчастная любовь, проблемы с друзьями, сложности построения отношений",presuicidal_multilabel_conj,c68356dbeb6c4e3a8b87f8c39099589d-6
"Я слезно извинялась и просила прощения что не смогла оправдать его стандартов, за грубость из-за усталости на работе, что я не стараюсь достаточно сильно для общего блага я умоляла на его простить меня, на что он выразился четко - ""меня всё достало, я теперь для себя поживу"" претензии были по поводу того, что я недостаточно умная, что он во всем себе отказывает, а я ною по поводу тяжёлой работы и это непозволительно с моей стороны, так как он старается больше, чем я. Теперь не вижу жизни, я никому не нужна, ни себе ни другим, я мечтаю <способ суицида - ред. мод.",presuicidal,,"смерть/мысли о смерти;чувства/негативное самоощущение, вина, стыд, никчемность, самобичевание",presuicidal_multilabel_conj,bf39f6d98e3142b6b1d29558dc8577d9-8
"Кроме неё было ещё 2 подруги, 1-ая предала меня, и всё высказала, тем самым опустив мою самооценку ещё ниже плинтуса (но всё думают, что я специально иногда говорю о себе плохо, чтобы на меня обратили внимания.",presuicidal,,"проблемы во внешнем мире/несчастная любовь, проблемы с друзьями, сложности построения отношений;чувства/негативное самоощущение, вина, стыд, никчемность, самобичевание",presuicidal_multilabel_conj,91e114d5d6b4421b97a72f5e12d8b64d-21
Недавно я еле-еле уговорила маму отвести меня к психиатру ( она куча раз отказывала мне.,presuicidal,,клинические проявления/другие психические расстройства;проблемы в семье/сложные отношения с родственниками,presuicidal_multilabel_conj,f3e538e7de464fa1bc3b20ea3f09747c-47
