task_idx,text,stratum,category,description,daniil_n_spans,daniil_spans,daniil_type,shirin_n_spans,shirin_spans,shirin_type,igor_n_spans,igor_spans,igor_type
0,)у меня паника))),solyanka_twitter_short_simple,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",1,"[1,14]у меня паника",Не сложное,1,"[1,14]у меня паника",Не сложное,1,"[1,14]у меня паника",Не сложное
1,/ Я фанат странных незнакомцев )))))),solyanka_twitter_short_simple,text_artifact,"Несбалансированные скобки/кавычки в исходном тексте — артефакт, затрудняющий согласованную разметку границ.",1,"[0,30]/ Я фанат странных незнакомцев",Не сложное,1,"[2,30]Я фанат странных незнакомцев",Не сложное,1,"[2,30]Я фанат странных незнакомцев",Не сложное
2,"56-летнего мужчину, проработавшего на заводе 38 лет, арестовали в мае после того, как один из сотрудников заметил странный порошок на своей еде.",solyanka_lenta_long,demonstrative_words,Указательное/соотносительное слово (тот/туда/тогда/так) — аннотаторы по-разному отнесли его к главной или придаточной части (несовпадение границ при равном числе клауз).,2,"[0,69]56-летнего мужчину, проработавшего на заводе 38 лет, арестовали в мае; [70,143]после того, как один из сотрудников заметил странный порошок на своей еде",СПП,2,"[0,80]56-летнего мужчину, проработавшего на заводе 38 лет, арестовали в мае после того; [82,143]как один из сотрудников заметил странный порошок на своей еде",СПП,2,"[0,80]56-летнего мужчину, проработавшего на заводе 38 лет, арестовали в мае после того; [82,143]как один из сотрудников заметил странный порошок на своей еде",СПП
3,"«В изменяющейся политической и экономической обстановке стремительно возрастает значение и актуальность таких форматов, как ""Большая двадцатка"", где Россия принимает активное участие», — пояснил он.",solyanka_lenta_long,direct_speech,"Внутри прямой речи / реплики один аннотатор выделил клаузы, другой оставил реплику целиком.",4,"[1,118]В изменяющейся политической и экономической обстановке стремительно возрастает значение и актуальность таких форматов; [120,142]как ""Большая двадцатка; [145,182]где Россия принимает активное участие; [187,197]пояснил он",Смешанного типа,3,"[1,142]В изменяющейся политической и экономической обстановке стремительно возрастает значение и актуальность таких форматов, как ""Большая двадцатка; [145,182]где Россия принимает активное участие; [187,197]пояснил он",СПП,3,"[1,142]В изменяющейся политической и экономической обстановке стремительно возрастает значение и актуальность таких форматов, как ""Большая двадцатка; [145,182]где Россия принимает активное участие; [187,197]пояснил он",Смешанного типа
4,"«Он чешет им животики и гладит по голове, — Поразительно, что все эти кошки, которые нас даже близко не подпускают, сразу тянутся к нему.",solyanka_lenta_long,text_artifact,"Несбалансированные скобки/кавычки в исходном тексте — артефакт, затрудняющий согласованную разметку границ.",5,"[1,40]Он чешет им животики и гладит по голове; [44,56]Поразительно; [58,75]что все эти кошки; [77,114]которые нас даже близко не подпускают; [116,136]сразу тянутся к нему",Смешанного типа,4,"[1,40]Он чешет им животики и гладит по голове; [44,56]Поразительно; [58,75]что все эти кошки; [77,136]которые нас даже близко не подпускают, сразу тянутся к нему",СПП,4,"[1,40]Он чешет им животики и гладит по голове; [44,75]Поразительно, что все эти кошки; [77,114]которые нас даже близко не подпускают; [116,136]сразу тянутся к нему",Смешанного типа
5,"«Речь идет о большой группе злоумышленников, совершивших несколько заказных убийств и покушений на убийств в городе Киеве.",solyanka_lenta_long,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",1,"[1,121]Речь идет о большой группе злоумышленников, совершивших несколько заказных убийств и покушений на убийств в городе Киеве",Не сложное,1,"[1,121]Речь идет о большой группе злоумышленников, совершивших несколько заказных убийств и покушений на убийств в городе Киеве",Не сложное,1,"[1,121]Речь идет о большой группе злоумышленников, совершивших несколько заказных убийств и покушений на убийств в городе Киеве",Не сложное
6,"А еще на фото моего класса на пиксельный фотик Мне сегодня 17, и я этого совсем не ощущаю, это странно чуть-чуть Но в целом день был чудесным!",presuicidal_monolabel_long,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",5,"[0,46]А еще на фото моего класса на пиксельный фотик; [47,61]Мне сегодня 17; [63,89]и я этого совсем не ощущаю; [91,112]это странно чуть-чуть; [113,141]Но в целом день был чудесным",Смешанного типа,5,"[0,46]А еще на фото моего класса на пиксельный фотик; [47,61]Мне сегодня 17; [63,89]и я этого совсем не ощущаю; [91,112]это странно чуть-чуть; [113,141]Но в целом день был чудесным",Смешанного типа,5,"[0,46]А еще на фото моего класса на пиксельный фотик; [47,61]Мне сегодня 17; [63,89]и я этого совсем не ощущаю; [91,112]это странно чуть-чуть; [113,141]Но в целом день был чудесным",Смешанного типа
7,"А ещё он пьет, это началось давно и продолжается до сих пор, пьет довольно часто и много, ночью заваливается домой, пока мы спим, из-за этого мы не высыпаемся и утром идем в таком состоянии на работу.",presuicidal_multilabel_conj,homogeneous_predicates,"Однородные сказуемые через запятую — один аннотатор разделил их на несколько клауз, другой счёл их одной клаузой с однородными членами.",6,"[0,13]А ещё он пьет; [15,59]это началось давно и продолжается до сих пор; [61,88]пьет довольно часто и много; [90,114]ночью заваливается домой; [116,128]пока мы спим; [130,199]из-за этого мы не высыпаемся и утром идем в таком состоянии на работу",Смешанного типа,7,"[0,13]А ещё он пьет; [15,59]это началось давно и продолжается до сих пор; [61,88]пьет довольно часто и много; [90,114]ночью заваливается домой; [116,128]пока мы спим; [130,158]из-за этого мы не высыпаемся; [159,199]и утром идем в таком состоянии на работу",Смешанного типа,5,"[0,13]А ещё он пьет; [15,59]это началось давно и продолжается до сих пор; [61,114]пьет довольно часто и много, ночью заваливается домой; [116,128]пока мы спим; [130,199]из-за этого мы не высыпаемся и утром идем в таком состоянии на работу",Смешанного типа
8,"Альтруистический подход позволяет избавиться от причин уныния – он дает возможность взглянуть на них более широко , и тогда им уже не под силу вас обескуражить .",solyanka_lj_long,punctuation_noise,"Расхождение в границах span'ов исчезает после нормализации (обрезки пунктуации/пробелов) — пунктуационный шум, не реальное несогласие.",3,"[0,61]Альтруистический подход позволяет избавиться от причин уныния; [64,113]он дает возможность взглянуть на них более широко; [116,159]и тогда им уже не под силу вас обескуражить",Смешанного типа,3,"[0,61]Альтруистический подход позволяет избавиться от причин уныния; [64,113]он дает возможность взглянуть на них более широко; [116,159]и тогда им уже не под силу вас обескуражить",Смешанного типа,3,"[0,61]Альтруистический подход позволяет избавиться от причин уныния; [64,113]он дает возможность взглянуть на них более широко; [116,159]и тогда им уже не под силу вас обескуражить",Смешанного типа
9,"Была у этого деспода племянница, на год младше меня, и когда мне было уже 9, в один прекрасный день ему азбрела в голову идея, почему бы и не сблизить наше с ней и без того хорошее общение, мы с ней ходили в одну школу, она была слабая, красивая и легко управляемая девчушка, чем часто пользовались ее однокласники, всячески издеваясь над ней, шпыняя, и подставляя.",presuicidal_multilabel_conj,adverbial_participle,Деепричастный/причастный оборот — один аннотатор ошибочно выделил его как самостоятельную клаузу.,7,"[0,51]Была у этого деспода племянница, на год младше меня; [53,75]и когда мне было уже 9; [77,125]в один прекрасный день ему азбрела в голову идея; [127,188]почему бы и не сблизить наше с ней и без того хорошее общение; [190,218]мы с ней ходили в одну школу; [220,274]она была слабая, красивая и легко управляемая девчушка; [276,364]чем часто пользовались ее однокласники, всячески издеваясь над ней, шпыняя, и подставляя",Смешанного типа,7,"[0,51]Была у этого деспода племянница, на год младше меня; [53,125]и когда мне было уже 9, в один прекрасный день ему азбрела в голову идея; [127,188]почему бы и не сблизить наше с ней и без того хорошее общение; [190,218]мы с ней ходили в одну школу; [220,274]она была слабая, красивая и легко управляемая девчушка; [276,314]чем часто пользовались ее однокласники; [316,364]всячески издеваясь над ней, шпыняя, и подставляя",СПП,8,"[0,51]Была у этого деспода племянница, на год младше меня; [53,54]и; [55,75]когда мне было уже 9; [77,125]в один прекрасный день ему азбрела в голову идея; [127,188]почему бы и не сблизить наше с ней и без того хорошее общение; [190,218]мы с ней ходили в одну школу; [220,274]она была слабая, красивая и легко управляемая девчушка; [276,364]чем часто пользовались ее однокласники, всячески издеваясь над ней, шпыняя, и подставляя",Смешанного типа
