task_id,data_id,stratum,sentence_type,n_spans,spans_json,text
0,852bba22fc0d4492907c49ab63de6021-3,presuicidal_multilabel_conj,Смешанного типа,14,"[{""start"": 0, ""end"": 30, ""text"": ""Потом начались проблемы, драки""}, {""start"": 32, ""end"": 74, ""text"": ""после очередной у меня началось косоглазие""}, {""start"": 76, ""end"": 95, ""text"": ""и появился комплекс""}, {""start"": 97, ""end"": 151, ""text"": ""Через не которое время пришлось уехать в другую страну""}, {""start"": 153, ""end"": 174, ""text"": ""тут долгое время один""}, {""start"": 176, ""end"": 205, ""text"": ""много времени сижу в квартире""}, {""start"": 207, ""end"": 230, ""text"": ""не вижу смысла не в чем""}, {""start"": 232, ""end"": 248, ""text"": ""жуткая депрессия""}, {""start"": 250, ""end"": 269, ""text"": ""и дикое одиночество""}, {""start"": 271, ""end"": 282, ""text"": ""куча долгов""}, {""start"": 284, ""end"": 312, ""text"": ""не могу устроиться на работу""}, {""start"": 314, ""end"": 338, ""text"": ""во всем виноват сам знаю""}, {""start"": 340, ""end"": 361, ""text"": ""проблемы на проблемах""}, {""start"": 363, ""end"": 378, ""text"": ""как найти выход""}]","Потом начались проблемы, драки, после очередной у меня началось косоглазие, и появился комплекс, Через не которое время пришлось уехать в другую страну, тут долгое время один, много времени сижу в квартире, не вижу смысла не в чем, жуткая депрессия, и дикое одиночество, куча долгов, не могу устроиться на работу, во всем виноват сам знаю, проблемы на проблемах, как найти выход"
1,7bbef3bb37c84087a67348fd786935ba-9,presuicidal_multilabel_conj,Смешанного типа,6,"[{""start"": 0, ""end"": 15, ""text"": ""Мне уже 32 года""}, {""start"": 17, ""end"": 30, ""text"": ""жизнь прожита""}, {""start"": 31, ""end"": 50, ""text"": ""и юность не вернуть""}, {""start"": 51, ""end"": 94, ""text"": ""а кроме одиночества и тех \""больших\"" успехов""}, {""start"": 95, ""end"": 131, ""text"": ""которые я считал смыслом своей жизни""}, {""start"": 132, ""end"": 150, ""text"": ""у меня ничего нет.""}]","Мне уже 32 года, жизнь прожита и юность не вернуть а кроме одиночества и тех ""больших"" успехов которые я считал смыслом своей жизни у меня ничего нет."
2,7f3ed511f9414533b27d9e5f8def2736-0,presuicidal_multilabel_conj,СПП,2,"[{""start"": 0, ""end"": 38, ""text"": ""— а ещё, я хочу быть тяночкой мальчика""}, {""start"": 40, ""end"": 61, ""text"": ""который мне нравится.""}]","— а ещё, я хочу быть тяночкой мальчика, который мне нравится."
3,0764fa8737864ac8aac3f055656cf267-28,presuicidal_multilabel_conj,Смешанного типа,7,"[{""start"": 0, ""end"": 30, ""text"": ""Она сидела впереди меня 2 года""}, {""start"": 31, ""end"": 53, ""text"": ""а когда поворачивалась""}, {""start"": 54, ""end"": 85, ""text"": ""я был самым счастливым на свете""}, {""start"": 86, ""end"": 112, ""text"": ""я вот посмотрел в её глаза""}, {""start"": 113, ""end"": 150, ""text"": ""и мне сразу становится хорошо и тепло""}, {""start"": 151, ""end"": 176, ""text"": ""а если немножко поговорим""}, {""start"": 177, ""end"": 209, ""text"": ""то это вообще повод напится был.""}]",Она сидела впереди меня 2 года а когда поворачивалась я был самым счастливым на свете я вот посмотрел в её глаза и мне сразу становится хорошо и тепло а если немножко поговорим то это вообще повод напится был.
4,c30f290e3d6a426f871233979c7e6036-14,presuicidal_multilabel_conj,СПП,3,"[{""start"": 0, ""end"": 11, ""text"": ""Мне кажется""}, {""start"": 13, ""end"": 40, ""text"": ""что проще просто убить себя""}, {""start"": 42, ""end"": 97, ""text"": ""потому что такой человек как я бесполезен для общества.""}]","Мне кажется, что проще просто убить себя, потому что такой человек как я бесполезен для общества."
5,d11d952f16064a64bfdfdc648d0f9363-5,presuicidal_multilabel_conj,Смешанного типа,3,"[{""start"": 0, ""end"": 26, ""text"": ""Я его безумно сильно люблю""}, {""start"": 28, ""end"": 80, ""text"": ""мне очень хочется и хотелось от него и семьи и детей""}, {""start"": 82, ""end"": 91, ""text"": ""а он нет.""}]","Я его безумно сильно люблю, мне очень хочется и хотелось от него и семьи и детей, а он нет."
6,d8d6ef2fb95e416cae2904503a5d8a89-6,presuicidal_multilabel_conj,Смешанного типа,6,"[{""start"": 0, ""end"": 9, ""text"": ""Я не знаю""}, {""start"": 10, ""end"": 25, ""text"": ""что буду делать""}, {""start"": 26, ""end"": 38, ""text"": ""если не сдам""}, {""start"": 40, ""end"": 62, ""text"": ""хотя я вижу один выход""}, {""start"": 63, ""end"": 75, ""text"": ""и это суицид""}, {""start"": 77, ""end"": 102, ""text"": ""другого выхода я не вижу.""}]","Я не знаю что буду делать если не сдам, хотя я вижу один выход и это суицид, другого выхода я не вижу."
7,4bbd22279774411192586ec7177e4686-47,presuicidal_multilabel_conj,Смешанного типа,4,"[{""start"": 0, ""end"": 43, ""text"": ""Стал ненавидеть себя и весь окружающий мир.""}, {""start"": 44, ""end"": 79, ""text"": ""Я по другом стал оценивать весь мир""}, {""start"": 81, ""end"": 128, ""text"": ""по моему я все это время жил в какой-то иллюзии""}, {""start"": 129, ""end"": 152, ""text"": ""которую сам же выдумал.""}]","Стал ненавидеть себя и весь окружающий мир. Я по другом стал оценивать весь мир, по моему я все это время жил в какой-то иллюзии которую сам же выдумал."
8,ca7f06c4bcdf4694aae2d73388527715-6,presuicidal_multilabel_conj,БСП,3,"[{""start"": 0, ""end"": 47, ""text"": ""Он гнобит меня постоянно иногда говорит молодец""}, {""start"": 49, ""end"": 73, ""text"": ""он со мной как с тряпкой""}, {""start"": 74, ""end"": 100, ""text"": ""у нас сном нечего не было.""}]","Он гнобит меня постоянно иногда говорит молодец, он со мной как с тряпкой у нас сном нечего не было."
9,e7608bbde7e641c2990485635b9538a9-2,presuicidal_multilabel_conj,Смешанного типа,3,"[{""start"": 0, ""end"": 47, ""text"": ""в последнее время все мои мысли были лишь о том""}, {""start"": 48, ""end"": 77, ""text"": ""как быстрее покончить со всем""}, {""start"": 79, ""end"": 178, ""text"": ""у меня тревожный сон, нервная анорексия, нескончаемые панические атаки и огромная ненависть к себе.""}]","в последнее время все мои мысли были лишь о том как быстрее покончить со всем, у меня тревожный сон, нервная анорексия, нескончаемые панические атаки и огромная ненависть к себе."
