"agreement","annotation_id","annotator","created_at","data_id","id","label","lead_time","simple_sentences","text","updated_at"
100.0,91066811,"a.shirin300101@gmail.com","2026-03-28T11:03:54.241935Z","02786b7c4df24164bfd1b536cb1f47bd-5",257100292,"чувства/одиночество, непонимание, изоляция, брошенность",261.347,"{""text"":[""Грустно."",""Ведь мне не с кем даже посмеяться над глупой шуткой.""]}","Грустно, ведь мне не с кем даже посмеяться над глупой шуткой.","2026-03-28T11:03:54.241947Z"
100.0,91067000,"a.shirin300101@gmail.com","2026-03-28T11:09:49.681310Z","17a8af6ef4544988805c03ad361be4eb-0",257100293,"клинические проявления/плач, истерики",354.045,"{""text"":[""Сегодня вечером я плачу от того."",""(что) живу в России.""]}","Сегодня вечером я плачу от того что живу в России.","2026-03-28T11:09:49.681322Z"
100.0,91067037,"a.shirin300101@gmail.com","2026-03-28T11:11:06.620755Z","8d166ac35b2f40e7b1930a124c4ca55e-8",257100294,"клинические проявления/депрессия;смерть/мысли о смерти",75.633,"{""text"":[""Прошло пару лет."",""Я в ужасной депрессии и не хочу жить.""]}","И прошло пару лет, и я в ужасной депрессии и не хочу жить.","2026-03-28T11:11:06.620767Z"
100.0,92299084,"a.shirin300101@gmail.com","2026-03-30T10:14:21.256806Z","686832fc248647c5ab22b976e77f5d3e-1",257100295,"другое/проблемы с деньгами (нищенство, долги);защитные факторы/выражение любви",91.018,"{""text"":[""Одна."",""Со мной обожающая меня маленькая очаровательная собачка."",""(Со мной) обязательства по кредитам.""]}","Одна, со мной обожающая меня маленькая очаровательная собачка, обязательства по кредитам.","2026-03-30T10:14:21.256817Z"
"","","","","e5462f6756de43578c4dade5227a042d-1",257100296,"нерелевантный","","","ни алкоголиков, ни домашнего насилия и поножовщины в детстве не было.",""
100.0,92117644,"a.shirin300101@gmail.com","2026-03-30T05:25:23.975381Z","237bdce006f34919b6d89ab2e7fcd4cc-2",257100297,"клинические проявления/усталость, стресс, истощение ресурсов",46.168,"{""text"":[""И очень сильно устаю."",""У меня нет сил, эмоций, энергии и желания что-либо делать.""]}","И очень сильно устаю: у меня нет сил, эмоций, энергии и желания что-либо делать.","2026-03-30T05:25:23.975392Z"
"","","","","a3730e9a660c4a4b97fff36da7358938-4",257100298,"защитные факторы/желание любви и отношений;защитные факторы/поиск счастья и радости","","","Я мечтаю жить в маленьком но уютном кругу близких мне по духу людей.",""
100.0,92117869,"a.shirin300101@gmail.com","2026-03-30T05:28:15.308588Z","1bd48664d61b4f02b4620916171405e5-0",257100299,"чувства/агрессия, гнев, обида, злость, раздражительность, ревность, несправедливость",136.473,"{""text"":[""Вот я говорю. "",""Большинство мусульманок такие же конченые твари, как их мужики."",""Мне орут что-то про женскую солидарность."",""Их надо жалеть.""]}","Вот когда я говорю что большинство мусульманок такие же конченые твари как их мужики, то мне орут что-то про женскую солидарность, что их надо жалеть.","2026-03-30T05:28:15.308600Z"
100.0,92117896,"a.shirin300101@gmail.com","2026-03-30T05:28:48.555996Z","182d88ce493a4e1db004ead9f0be063f-39",257100300,"защитные факторы/выражение любви",31.53,"{""text"":[""Но я всё ещё хочу быть рядом с моим любимым человеком."",""И только эта мысль меня пока поддерживает.""]}","Но я все ещё хочу быть рядом с моим любимым человеком, и только эта мысль меня пока поддерживает.","2026-03-30T05:28:48.556008Z"
100.0,92299134,"a.shirin300101@gmail.com","2026-03-30T10:15:30.211736Z","180aec786d39401d9ad47f7409b0b4e8-3",257100301,"смерть/мысли о смерти;чувства/негативное самоощущение, вина, стыд, никчемность, самобичевание",130.04,"{""text"":[""Я считаю себя полнейшим ничтожеством."",""(Я) больше не хочу жить.""]}","Я считаю себя полнейшим ничтожеством и больше не хочу жить.","2026-03-30T10:15:30.211747Z"
