text,spans,label
"Потом начались проблемы, драки, после очередной у меня началось косоглазие, и появился комплекс, Через не которое время пришлось уехать в другую страну, тут долгое время один, много времени сижу в квартире, не вижу смысла не в чем, жуткая депрессия, и дикое одиночество, куча долгов, не могу устроиться на работу, во всем виноват сам знаю, проблемы на проблемах, как найти выход","[(0, 30, 'clause'), (32, 74, 'clause'), (76, 95, 'clause'), (97, 151, 'clause'), (153, 174, 'clause'), (176, 205, 'clause'), (207, 230, 'clause'), (232, 248, 'clause'), (250, 269, 'clause'), (271, 282, 'clause'), (284, 312, 'clause'), (314, 338, 'clause'), (340, 361, 'clause'), (363, 378, 'clause')]",
"— а ещё, я хочу быть тяночкой мальчика, который мне нравится.","[(2, 38, 'clause'), (40, 60, 'clause')]",
"Мне кажется, что проще просто убить себя, потому что такой человек как я бесполезен для общества.","[(0, 11, 'clause'), (13, 40, 'clause'), (42, 96, 'clause')]",
"Я его безумно сильно люблю, мне очень хочется и хотелось от него и семьи и детей, а он нет.","[(0, 26, 'clause'), (28, 80, 'clause'), (82, 90, 'clause')]",
"Стал ненавидеть себя и весь окружающий мир. Я по другом стал оценивать весь мир, по моему я все это время жил в какой-то иллюзии которую сам же выдумал.","[(0, 42, 'clause'), (44, 79, 'clause'), (81, 151, 'clause')]",
"Он гнобит меня постоянно иногда говорит молодец, он со мной как с тряпкой у нас сном нечего не было.","[(0, 47, 'clause'), (49, 99, 'clause')]",
"Я почти смирился с тем, что Бог проклял и отвернулся от меня (Есть за что - в период расставания с девушкой я все равно ее ревновал, преследовал, оскорблял.","[(0, 22, 'clause'), (24, 155, 'clause')]",
"Но стоит ему как-то не так на меня посмотреть или не посмотреть, как я начинаю выть как раненная собака и хвататься за острые предметы.","[(0, 63, 'clause'), (65, 134, 'clause')]",
"и на работе все беременные ненавижу всех хочу умереть и не видеть этого сын меня не любит, ему я нужна только как источник подарков","[(0, 71, 'clause'), (72, 89, 'clause'), (91, 131, 'clause')]",
Я всё равно никому не нужна.,"[(0, 27, 'clause')]",
Маме хуже она сказала отцу они спиваются уже как год они алкоголики проблемы с деньгами драки отец бьет мать я бью его защищая себя и мать.,"[(0, 9, 'clause'), (10, 26, 'clause'), (27, 52, 'clause'), (53, 67, 'clause'), (68, 87, 'clause'), (88, 93, 'clause'), (94, 108, 'clause'), (109, 138, 'clause')]",
"Я понимаю умом, что мне повезло - я выбралась на какой-то уровень.","[(0, 14, 'clause'), (16, 31, 'clause'), (34, 65, 'clause')]",
А я жить без неё не могу.,"[(0, 24, 'clause')]",
"Мне очень нужно было с кем-нибудь поделиться своими проблемами тк я просто с ума схожу от всего этого в последние дни, и снова в голове мысли о суициде","[(0, 62, 'clause'), (63, 117, 'clause'), (119, 151, 'clause')]",
"Но вот после появления девушки, мне хотелось постоянно что то ей покупать, дарить, я был очень рад, что могу себе эот позволять.","[(0, 81, 'clause'), (83, 98, 'clause'), (100, 127, 'clause')]",
"В голове только один выход - суицид, я смогу решиться, я уже пыталась, меня остановили.","[(0, 35, 'clause'), (37, 53, 'clause'), (55, 69, 'clause'), (71, 86, 'clause')]",
Но мои родители ругались дрались я как то не об этом как то это все наверное отпечаталось.,"[(3, 32, 'clause'), (33, 89, 'clause')]",
Я съездила на похороны только ради матери.,"[(0, 41, 'clause')]",
"Но последние два-три года, даже в отсутствие истерик, нервных срывов и глубоких депрессий, я четко и ясно понимаю, что жить мне не хочется.","[(91, 113, 'clause'), (115, 138, 'clause')]",
"Меня никто не любит и мне проще уйти из дома родителей жениха или умереть, лишь бы не испытывать этот кошмар.","[(0, 19, 'clause'), (20, 73, 'clause'), (75, 108, 'clause')]",
"Мой гражданский муж издевается, дети не любят, а еще я вич плюс, и парня заразила( не хочу жить очень тяжело, хорошо детей есть куда деть.","[(0, 30, 'clause'), (32, 45, 'clause'), (47, 63, 'clause'), (65, 81, 'clause'), (83, 108, 'clause'), (110, 116, 'clause'), (117, 137, 'clause')]",
Так пару раз я застукивала с разлучницей.,"[(0, 40, 'clause')]",
"Я точно знаю что всегда была честной с дорогими мне людьми, и я не заслуживаю такого отношения.","[(0, 58, 'clause'), (60, 94, 'clause')]",
"Мне вчера пришла смс от нее, что она ненавидит меня и всю жизнь любила и любит одного человека и этот человек - не я. Сейчас у меня большие перспективы на другой работе, организационные планы, телевидение, встречи с известными людьми и первыми лицами в регионах России, но пусто внутри, ПУСТО, как будто выпотрошили тебя до тла.","[(0, 27, 'clause'), (29, 94, 'clause'), (95, 116, 'clause')]",
"Я никому не нужен, а мне не нужна эта жизнь.","[(0, 17, 'clause'), (19, 43, 'clause')]",
Меня оскорбляют однокласники и учительнизы тоже конечно хотелось бы умереть но я не могу этого сделать я держусь как могу но скоро мне не захочется держаться и умру.,"[(0, 47, 'clause'), (48, 75, 'clause'), (76, 102, 'clause'), (103, 121, 'clause'), (122, 157, 'clause'), (158, 164, 'clause')]",
"Меня предали друзья и любимая, после я ""упал"" в одиночество.","[(0, 29, 'clause')]",
"Я не могу контролировать свои эмоции и высказывания, вечно язвлю Да, меня часто посещают мысли о уходе из жизни.","[(0, 67, 'clause'), (69, 111, 'clause')]",
Дело в том что я люблю одну девушку.,"[(0, 10, 'clause'), (11, 35, 'clause')]",
У меня бессонница и депрессия.,"[(0, 29, 'clause')]",
"Наверное, самоненависть дошла уже до критического уровня, я понимаю, что не справляюсь.","[(0, 56, 'clause'), (58, 67, 'clause'), (69, 86, 'clause')]",
Я ничтожиство а жизнь теряет для меня всякий смысл.,"[(0, 13, 'clause'), (14, 50, 'clause')]",
"Я пропала, я испорченный ребенок, на фоне расстройств я стала курить и прибегала к попыткам суицида.","[(0, 9, 'clause'), (11, 32, 'clause'), (34, 99, 'clause')]",
