section,metric,scope,value
descriptive,spans_per_task_mean,daniil,3.415000
descriptive,span_len_tokens_mean,daniil,6.581259
descriptive,spans_per_task_mean,shirin,3.560000
descriptive,span_len_tokens_mean,shirin,6.308989
descriptive,spans_per_task_mean,igor,3.120000
descriptive,span_len_tokens_mean,igor,7.185897
normalization,raw_disagree_tasks,all,195
normalization,norm_disagree_tasks,all,98
normalization,punctuation_noise_tasks,all,97
agreement,token_krippendorff_alpha,triple,0.846288
agreement,token_krippendorff_alpha,daniil-shirin,0.890020
agreement,token_krippendorff_alpha,daniil-igor,0.828265
agreement,token_krippendorff_alpha,shirin-igor,0.817787
agreement,boundary_f1_exact_macro,daniil-shirin,0.882699
agreement,boundary_f1_exact_micro,daniil-shirin,0.897308
agreement,boundary_f1_exact_macro,daniil-igor,0.845365
agreement,boundary_f1_exact_micro,daniil-igor,0.839130
agreement,boundary_f1_exact_macro,shirin-igor,0.844721
agreement,boundary_f1_exact_micro,shirin-igor,0.828240
agreement,boundary_f1_relaxed_macro,daniil-shirin,0.885199
agreement,boundary_f1_relaxed_micro,daniil-shirin,0.901296
agreement,boundary_f1_relaxed_macro,daniil-igor,0.851809
agreement,boundary_f1_relaxed_micro,daniil-igor,0.847826
agreement,boundary_f1_relaxed_macro,shirin-igor,0.851710
agreement,boundary_f1_relaxed_micro,shirin-igor,0.836670
agreement,span_jaccard_exact,daniil-shirin,0.776179
agreement,span_jaccard_exact,daniil-igor,0.718673
agreement,span_jaccard_exact,shirin-igor,0.714572
agreement,span_jaccard_relaxed,daniil-shirin,0.880124
agreement,span_jaccard_relaxed,daniil-igor,0.839776
agreement,span_jaccard_relaxed,shirin-igor,0.845617
agreement,sentence_type_alpha,triple,0.761301
agreement,sentence_type_alpha,daniil-shirin,0.793287
agreement,sentence_type_alpha,daniil-igor,0.742603
agreement,sentence_type_alpha,shirin-igor,0.752960
stratum,token_alpha_triple,presuicidal_multilabel_conj,0.834078
stratum,token_alpha_triple,presuicidal_multilabel_bsp,0.844107
stratum,token_alpha_triple,presuicidal_monolabel_long,0.845625
stratum,token_alpha_triple,presuicidal_short_simple,0.854814
stratum,token_alpha_triple,solyanka_lenta_long,0.903043
stratum,token_alpha_triple,solyanka_lj_long,0.818639
stratum,token_alpha_triple,solyanka_social_media_multi,0.896855
stratum,token_alpha_triple,solyanka_twitter_short_simple,0.760349
stratum,token_alpha_triple,other,0.884448
length,token_alpha_triple,0-10,0.885096
length,token_alpha_triple,10-20,0.813210
length,token_alpha_triple,20-40,0.866095
length,token_alpha_triple,40-80,0.791152
length,token_alpha_triple,80+,0.891265
sentence_type,token_alpha_triple,Не сложное,0.461566
sentence_type,token_alpha_triple,СПП,0.837302
sentence_type,token_alpha_triple,ССП,1.000000
sentence_type,token_alpha_triple,БСП,0.839986
sentence_type,token_alpha_triple,Смешанного типа,0.853986
sentence_type,token_alpha_triple,нет консенсуса,0.633528
